
NAME,PROJ_ID,MISSION_ID,PLEADER_ID
San Antonio,1,232,2020453
Meukek,2,212,2020571
Narsingdi,3,292,2020710
Saint-Sauveur,4,202,2021200
Irtyshskiy,5,242,2021346
Cireundang,6,262,2021349
Khatsyezhyna,7,292,2021377
Lau,8,232,2021775
Podbuzh,9,202,2022942
Białołeka,10,292,2023391
Kanturk,11,262,2024388
Tongmuluo,12,292,2025659
Roissy Charles-de-Gaulle,13,222,2025716
Jastrzębia,14,212,2026095
Gialo,15,212,2026391
Walferdange,16,232,2027078
Kafir Qala,17,232,2027259
Chōfugaoka,18,242,2027636
Manicahan,19,202,2027677
Babakanjaya,20,212,2027870
San Vicente,21,262,2029019
Lang,22,232,2029383
Rio Covo ( Santa Eulália ),23,272,2029990
Klyuchi,24,282,2029839
Tugela Ferry,25,252,2029841
